Line #,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","CC0603KRX7R0BB104","0.1 µF ±10% 100V Ceramic Capacitor X7R 0603 (1608 Metric)","C2_A, C2_B, C2_C, C2_D, C2_E, C2_F, C2_G, C2_H, C3_A, C3_B, C3_C, C3_D, C3_E, C3_F, C3_G, C3_H, C4_A, C4_B, C4_C, C4_D, C4_E, C4_F, C4_G, C4_H, C6_A, C6_B, C6_C, C6_D, C6_E, C6_F, C6_G, C6_H, C9_A, C9_B, C9_C, C9_D, C9_E, C9_F, C9_G, C9_H, C11_A, C11_B, C11_C, C11_D, C11_E, C11_F, C11_G, C11_H, C19, C27, C28, C29, C30, C31, C32, C33, C34","57","Yageo","CC0603KRX7R0BB104","Volume Production","Digikey","311-1523-6-ND","0.07","3.99"
"","RC0603FR-0710KL","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film","R1_A, R1_B, R1_C, R1_D, R1_E, R1_F, R1_G, R1_H, R3_A, R3_B, R3_C, R3_D, R3_E, R3_F, R3_G, R3_H","16","Yageo","RC0603FR-0710KL","Volume Production","Digikey","311-10.0KHRCT-ND","0.009","0.144"
"","RT0603BRD071K8L","1.8 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thin Film","R23_A, R23_B, R23_C, R23_D, R23_E, R23_F, R23_G, R23_H","8","Yageo","RT0603BRD071K8L","Volume Production","Digikey","YAG1575CT-ND","0.095","0.95"
"","RT0603BRD071KL","1 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thin Film","R4_A, R4_B, R4_C, R4_D, R4_E, R4_F, R4_G, R4_H, R6_A, R6_B, R6_C, R6_D, R6_E, R6_F, R6_G, R6_H, R7_A, R7_B, R7_C, R7_D, R7_E, R7_F, R7_G, R7_H, R8_A, R8_B, R8_C, R8_D, R8_E, R8_F, R8_G, R8_H, R12_A, R12_B, R12_C, R12_D, R12_E, R12_F, R12_G, R12_H, R13_A, R13_B, R13_C, R13_D, R13_E, R13_F, R13_G, R13_H, R14_A, R14_B, R14_C, R14_D, R14_E, R14_F, R14_G, R14_H, R18_A, R18_B, R18_C, R18_D, R18_E, R18_F, R18_G, R18_H","64","Yageo","RT0603BRD071KL","Volume Production","Digikey","YAG1237DKR-ND","0.0846","5.41"
"","RT0603BRD072K7L","2.7 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thin Film","R22_A, R22_B, R22_C, R22_D, R22_E, R22_F, R22_G, R22_H","8","Yageo","RT0603BRD072K7L","Not Recommended for New Design","Digikey","YAG1623DKR-ND","0.102","1.02"
"","RT0603BRD073K3L","3.3 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thin Film","R19_A, R19_B, R19_C, R19_D, R19_E, R19_F, R19_G, R19_H","8","Yageo","RT0603BRD073K3L","Volume Production","Digikey","YAG1652CT-ND","0.101","1.01"
"","RT0603BRD0743KL","43 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thin Film","R21_A, R21_B, R21_C, R21_D, R21_E, R21_F, R21_G, R21_H","8","Yageo","RT0603BRD0743KL","Volume Production","Digikey","YAG4557CT-ND","0.099","0.99"
"","RT0603BRD07110RL","110 Ohms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thin Film","R5_A, R5_B, R5_C, R5_D, R5_E, R5_F, R5_G, R5_H","8","Yageo","RT0603BRD07110RL","Volume Production","Digikey","YAG1506CT-ND","0.106","1.06"
"","RT0603BRD07200RL","200 Ohms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thin Film","R20_A, R20_B, R20_C, R20_D, R20_E, R20_F, R20_G, R20_H","8","Yageo","RT0603BRD07200RL","Volume Production","Digikey","YAG1579DKR-ND","0.1","1"
